bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b3_V1,b3,V1,Cingulum_Frontal_Parahippocampal_L : NumberOfTracts,NumberOfTracts,Cingulum_Frontal_Parahippocampal_L,lgrg,0.141320083
b3_V2,b3,V2,Cingulum_Frontal_Parahippocampal_L : MeanLength,MeanLength,Cingulum_Frontal_Parahippocampal_L,lgrg,0.078923259
b3_V3,b3,V3,Cingulum_Frontal_Parahippocampal_L : Span,Span,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V4,b3,V4,Cingulum_Frontal_Parahippocampal_L : Curl,Curl,Cingulum_Frontal_Parahippocampal_L,lgrg,0.068114656
b3_V5,b3,V5,Cingulum_Frontal_Parahippocampal_L : Elongation,Elongation,Cingulum_Frontal_Parahippocampal_L,lgrg,0.10767089
b3_V6,b3,V6,Cingulum_Frontal_Parahippocampal_L : Diameter,Diameter,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V7,b3,V7,Cingulum_Frontal_Parahippocampal_L : Volume,Volume,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V8,b3,V8,Cingulum_Frontal_Parahippocampal_L : TrunkVolume,TrunkVolume,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V9,b3,V9,Cingulum_Frontal_Parahippocampal_L : BranchVolume,BranchVolume,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V10,b3,V10,Cingulum_Frontal_Parahippocampal_L : TotalSurfaceArea,TotalSurfaceArea,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V11,b3,V11,Cingulum_Frontal_Parahippocampal_L : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V12,b3,V12,Cingulum_Frontal_Parahippocampal_L : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V13,b3,V13,Cingulum_Frontal_Parahippocampal_L : Irregularity,Irregularity,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099465103
b3_V14,b3,V14,Cingulum_Frontal_Parahippocampal_L : AreaOfEndRegion1,AreaOfEndRegion1,Cingulum_Frontal_Parahippocampal_L,lgrg,0.105097385
b3_V15,b3,V15,Cingulum_Frontal_Parahippocampal_L : RadiusOfEndRegion1,RadiusOfEndRegion1,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V16,b3,V16,Cingulum_Frontal_Parahippocampal_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V17,b3,V17,Cingulum_Frontal_Parahippocampal_L : AreaOfEndRegion2,AreaOfEndRegion2,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V18,b3,V18,Cingulum_Frontal_Parahippocampal_L : RadiusOfEndRegion2,RadiusOfEndRegion2,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V19,b3,V19,Cingulum_Frontal_Parahippocampal_L : IrregularityofEndRegion2,IrregularityofEndRegion2,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V20,b3,V20,Cingulum_Frontal_Parahippocampal_L : qa,qa,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V21,b3,V21,Cingulum_Frontal_Parahippocampal_L : nqa,nqa,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V22,b3,V22,Cingulum_Frontal_Parahippocampal_L : dti_fa,dti_fa,Cingulum_Frontal_Parahippocampal_L,lgrg,0.090165603
b3_V23,b3,V23,Cingulum_Frontal_Parahippocampal_L : md,md,Cingulum_Frontal_Parahippocampal_L,lgrg,0.107447449
b3_V24,b3,V24,Cingulum_Frontal_Parahippocampal_L : ad,ad,Cingulum_Frontal_Parahippocampal_L,lgrg,0.106257965
b3_V25,b3,V25,Cingulum_Frontal_Parahippocampal_L : rd,rd,Cingulum_Frontal_Parahippocampal_L,lgrg,0.10678247
b3_V26,b3,V26,Cingulum_Frontal_Parahippocampal_L : gfa,gfa,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V27,b3,V27,Cingulum_Frontal_Parahippocampal_L : iso,iso,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V28,b3,V28,Cingulum_Frontal_Parahippocampal_L : rdi,rdi,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V29,b3,V29,Cingulum_Frontal_Parahippocampal_L : nrdi02L,nrdi02L,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V30,b3,V30,Cingulum_Frontal_Parahippocampal_L : nrdi04L,nrdi04L,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b3_V31,b3,V31,Cingulum_Frontal_Parahippocampal_L : nrdi06L,nrdi06L,Cingulum_Frontal_Parahippocampal_L,lgrg,0.099552348
b4_V1,b4,V1,Cingulum_Frontal_Parahippocampal_R : NumberOfTracts,NumberOfTracts,Cingulum_Frontal_Parahippocampal_R,lgrg,0.075784468
b4_V2,b4,V2,Cingulum_Frontal_Parahippocampal_R : MeanLength,MeanLength,Cingulum_Frontal_Parahippocampal_R,lgrg,0.07756415
