bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b35_V28,b35,V28,Superior_Longitudinal_Fasciculus2_R : rdi,rdi,Superior_Longitudinal_Fasciculus2_R,lgrg,0
b31_V1,b31,V1,Parietal_Aslant_Tract_R : NumberOfTracts,NumberOfTracts,Parietal_Aslant_Tract_R,lgrg,0
b11_V9,b11,V9,Cingulum_Rarolfactory_L : BranchVolume,BranchVolume,Cingulum_Rarolfactory_L,lgrg,0
b7_V4,b7,V4,Cingulum_Parahippocampal_L : Curl,Curl,Cingulum_Parahippocampal_L,lgrg,0
b13_V5,b13,V5,Corpus_Callosum_Body : Elongation,Elongation,Corpus_Callosum_Body,lgrg,0
b46_V29,b46,V29,Uncinate_Fasciculus_L : nrdi02L,nrdi02L,Uncinate_Fasciculus_L,lgrg,0
b2_V7,b2,V7,Arcuate_Fasciculus_R : Volume,Volume,Arcuate_Fasciculus_R,lgrg,0
b40_V22,b40,V22,Thalamic_Radiation_Inferior_L : dti_fa,dti_fa,Thalamic_Radiation_Inferior_L,lgrg,0
b46_V23,b46,V23,Uncinate_Fasciculus_L : md,md,Uncinate_Fasciculus_L,lgrg,0
b7_V9,b7,V9,Cingulum_Parahippocampal_L : BranchVolume,BranchVolume,Cingulum_Parahippocampal_L,lgrg,0
b32_V24,b32,V24,Superior_Longitudinal_Fasciculus1_L : ad,ad,Superior_Longitudinal_Fasciculus1_L,lgrg,0
b15_V1,b15,V1,Corpus_Callosum_Forceps_Minor : NumberOfTracts,NumberOfTracts,Corpus_Callosum_Forceps_Minor,lgrg,0
b37_V23,b37,V23,Superior_Longitudinal_Fasciculus3_R : md,md,Superior_Longitudinal_Fasciculus3_R,lgrg,0
b38_V15,b38,V15,Thalamic_Radiation_Anterior_L : RadiusOfEndRegion1,RadiusOfEndRegion1,Thalamic_Radiation_Anterior_L,lgrg,0
b1_V18,b1,V18,Arcuate_Fasciculus_L : RadiusOfEndRegion2,RadiusOfEndRegion2,Arcuate_Fasciculus_L,lgrg,0
b45_V7,b45,V7,Thalamic_Radiation_Superior_R : Volume,Volume,Thalamic_Radiation_Superior_R,lgrg,0
b6_V23,b6,V23,Cingulum_Frontal_Parietal_R : md,md,Cingulum_Frontal_Parietal_R,lgrg,0
b9_V24,b9,V24,Cingulum_Parahippocampal_Parietal_L : ad,ad,Cingulum_Parahippocampal_Parietal_L,lgrg,0
b44_V3,b44,V3,Thalamic_Radiation_Superior_L : Span,Span,Thalamic_Radiation_Superior_L,lgrg,0
b48_V16,b48,V16,Vertical_Occipital_Fasciculus_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Vertical_Occipital_Fasciculus_L,lgrg,0
b44_V18,b44,V18,Thalamic_Radiation_Superior_L : RadiusOfEndRegion2,RadiusOfEndRegion2,Thalamic_Radiation_Superior_L,lgrg,7.443837
b18_V8,b18,V8,Fornix_L : TrunkVolume,TrunkVolume,Fornix_L,lgrg,0
